Day,Date,Week,Theme,Channel,Format,Hook,CTA,KPI,Notes
1,2026-05-01,Week 1 - Local Authority,Local resident credibility,Facebook + Instagram,Static post,"I am narrowing my local market content to 33428 because this is my backyard.","Comment 33428 if you want the snapshot when it is ready.",Comments and DMs,Do not link yet.
2,2026-05-02,Week 1 - Local Authority,Homeowner question,Facebook + Instagram,Story poll,"If you owned in 33428, what would you want to know before selling?","Vote in the poll or DM me a question.",Poll replies,Use answers as future content.
3,2026-05-03,Week 1 - Local Authority,Timbers/West Boca proof,Facebook + Instagram,Personal post,"Timbers of Boca is small, but it sits inside a much larger West Boca story.","Message me if you want the 33428 guide.",Profile visits and DMs,Keep it personal and local.
4,2026-05-04,Week 1 - Local Authority,Market watch teaser,Facebook + Instagram,Short reel,"Three things I check before giving a 33428 price opinion.","Comment Snapshot.",Comments,No market stats unless MLS verified.
5,2026-05-05,Week 1 - Local Authority,Buyer eyes,Facebook + Instagram,Carousel,"What buyers notice before they ask about price.","Save this if you are watching the market.",Saves and shares,Use 5-card carousel.
6,2026-05-06,Week 1 - Local Authority,HOA and prep,Facebook + Instagram,Static post,"The boring seller paperwork that can slow a good deal down.","DM me and I will send the checklist.",DMs,Reference HOA docs without legal advice.
7,2026-05-07,Week 1 - Local Authority,Pre-launch waitlist,Facebook + Instagram,Story + post,"I am finishing a one-page 33428 homeowner snapshot.","Comment 33428 and I will send it when live.",Comments,Collect warm prospects manually.
8,2026-05-08,Week 2 - Launch,PDF launch,Facebook + Instagram,Static post,"The 33428 Homeowner Snapshot is live.","Grab the guide through the link.",Clicks and form fills,Use BoldTrail URL.
9,2026-05-09,Week 2 - Launch,Buyer comparison,Facebook + Instagram,Carousel,"Five things buyers compare in West Boca homes.","Download the 33428 snapshot.",Saves and clicks,Repurpose PDF sections.
10,2026-05-10,Week 2 - Launch,MLS check framework,Facebook + Instagram,Reel,"The three numbers I check before trusting a 33428 price opinion.","Get the guide.",Video views and clicks,No fake numbers.
11,2026-05-11,Week 2 - Launch,Story question,Instagram Stories,Poll,"Would you want a broad estimate or a local comp snapshot?","Vote or ask me for the guide.",Poll replies,Use replies for DM follow-up.
12,2026-05-12,Week 2 - Launch,Local pocket context,Facebook + Instagram,Static post,"A Timbers home and a nearby West Boca home can face different buyer questions.","Request a property-specific snapshot.",DMs,Do not overstate differences.
13,2026-05-13,Week 2 - Launch,Online estimate caution,Facebook + Instagram,Text post,"Online estimates can be a starting point, not a pricing strategy.","Download the 33428 guide.",Clicks and saves,Keep tone helpful.
14,2026-05-14,Week 2 - Launch,FAQ,Facebook + Instagram,Short reel,"Is it a good time to sell in 33428? Better question: what would your home compete against?","Get the guide.",Views and clicks,Strong hook candidate.
15,2026-05-15,Week 3 - Seller Education,Pricing,Facebook + Instagram,Static post,"Price is not just what you want. It is what your best buyer compares you against.","Ask for a local snapshot.",DMs,Link to guide.
16,2026-05-16,Week 3 - Seller Education,Roof and insurance,Facebook + Instagram,Carousel,"Roof and insurance questions can shape buyer confidence in South Florida.","Save this seller prep list.",Saves,Do not give insurance advice.
17,2026-05-17,Week 3 - Seller Education,Updates,Facebook + Instagram,Static post,"Not every update pays equally before a sale.","Message me before you spend on pre-listing projects.",DMs,Useful seller angle.
18,2026-05-18,Week 3 - Seller Education,HOA documents,Facebook + Instagram,Static post,"HOA timing can affect a smooth sale more than sellers expect.","Grab the 33428 snapshot.",Clicks,General guidance only.
19,2026-05-19,Week 3 - Seller Education,Presentation,Facebook + Instagram,Reel,"A buyer forms an opinion before they finish the first walkthrough.","Want a prep read? Message me.",Video views and DMs,Simple walkthrough tips.
20,2026-05-20,Week 3 - Seller Education,Buyer expectations,Facebook + Instagram,Carousel,"What today's buyers tend to ask before writing an offer.","Download the guide.",Clicks and saves,Avoid demographics.
21,2026-05-21,Week 3 - Seller Education,Mini case example,Facebook + Instagram,Text post,"Two homes can be close on a map but compete differently.","Ask for a property-specific snapshot.",DMs,Use synthetic example only.
22,2026-05-22,Week 4 - Conversion + Review,Repost strongest hook,Facebook + Instagram,Best-performing format,"Repost the Week 2 or Week 3 post with the highest saves/clicks/comments.","Get the guide.",Clicks and form fills,Pick based on actual metrics.
23,2026-05-23,Week 4 - Conversion + Review,Download reminder,Facebook + Instagram,Static post,"If you are keeping an eye on 33428, this guide is built for you.","Download the snapshot.",Form fills,Weekend reminder.
24,2026-05-24,Week 4 - Conversion + Review,Community prompt,Facebook + Instagram,Story question,"Which West Boca pocket should I break down next?","Reply with your community.",Replies,Pipeline future magnets.
25,2026-05-25,Week 4 - Conversion + Review,Not selling now objection,Facebook + Instagram,Static post,"You do not need to be selling now to understand your local position.","Save the guide for later.",Saves and clicks,Low pressure.
26,2026-05-26,Week 4 - Conversion + Review,Property-specific CTA,Facebook + Instagram,Short reel,"The guide is general. Your home needs a specific read.","Message me your community for a quick snapshot.",DMs,Manual follow-up.
27,2026-05-27,Week 4 - Conversion + Review,Lead follow-up prompt,Facebook + Instagram,Static post,"I am sending 33428 snapshots this week for people who asked.","Request yours.",DMs and appointments,Use scarcity without pressure.
28,2026-05-28,Week 4 - Conversion + Review,Results review,Internal only,Admin task,"Review clicks, comments, saves, DMs, form fills, and appointments.","Mark winning hook.",Completed review,No public post required if daily system already runs.
29,2026-05-29,Week 4 - Conversion + Review,Paid test decision,Internal only,Admin task,"Decide whether a compliant Meta paid test is justified.","Approve or hold ad spend.",Decision made,Use thresholds in ad brief.
30,2026-05-30,Week 4 - Conversion + Review,Next ZIP teaser,Facebook + Instagram,Static post,"33428 was first. I am deciding which nearby Boca pocket to break down next.","Comment the ZIP or community you want next.",Comments,Use for expansion planning.

